"Operator Name";"Operator Group Name";"STB Manufacturer";"STB Model";"STB Serial";"STB Production Date";"Chipset Manufacturer";"Chipset Type";"Chipset Version";"Chipset Id"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00556";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652532780"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00557";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652532606"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00558";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652541467"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00568";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652533013"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00569";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652532695"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00570";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652516416"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00571";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652532904"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00572";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652532896"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00573";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652539146"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00574";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652533019"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00575";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652533023"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00576";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652532951"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00577";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652532518"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00578";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652529591"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00579";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652515711"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00580";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652533005"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00581";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652532543"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00582";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652535065"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00583";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652532991"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00584";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652514744"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00585";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652516594"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00586";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652532680"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00587";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652532915"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00588";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652532925"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00589";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652532549"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00590";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652529763"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00591";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652540492"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00592";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652533144"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00593";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652532745"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00594";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652532894"
